Name,Industry
??bir Holding,Others
?i?ecam,Others
?sdemir,Others
1&1,Media & telecommunication
10x Genomics,Pharma & Healthcare
11 bit studios,Tech & Software
11 bit studios,Entertainment
180 Life Sciences,Pharma & Healthcare
180 Life Sciences,Pharma & Healthcare
1-800-Flowers,Others
1-800-PetMeds,Tech & Software
1-800-PetMeds,Tech & Software
1st Source,Banks & Finance
22nd Century Group,Alcohol & Tobacco
23andMe,Tech & Software
23andMe,Pharma & Healthcare
2U,Others
360 DigiTech,Banks & Finance
3D Systems,Tech & Software
3i Group,Others
3i Infotech,Tech & Software
3M,Manufacturing
3M India,Others
51job,Tech & Software
7-Eleven,Retail
8x8,Others
A. O. Smith,Others
a.k.a. Brands,Retail
a.k.a. Brands,Consumer Goods & Clothing
a.k.a. Brands,Tech & Software
A.S. Roma,Others
Ørsted,Electricity
“K” Line,Courier & transportation
Æon,Retail
A1 Telekom Austria,Media & telecommunication
A10 Networks,Tech & Software
Aéroports de Paris,Courier & transportation
AAK,Food
Aalberts,Others
Aaon,Others
AAR,Others
Aareal Bank,Construction & Real Estate
Aaron's,Others
Aarti Drugs,Pharma & Healthcare
Aarti Drugs,Pharma & Healthcare
Aarti Industries,Chemicals
Aavas Financiers,Banks & Finance
ABB,Manufacturing
ABB India,Manufacturing
Abbott India,Pharma & Healthcare
Abbott Laboratories,Pharma & Healthcare
AbbVie,Pharma & Healthcare
AbbVie,Pharma & Healthcare
AbCellera,Pharma & Healthcare
AbCellera,Pharma & Healthcare
Abeona Therapeutics,Pharma & Healthcare
Abercrombie &amp; Fitch,Retail
Abercrombie &amp; Fitch,Consumer Goods & Clothing
Abiomed,Pharma & Healthcare
ABM Industries,Manufacturing
ABN AMRO,Others
AC Immune,Pharma & Healthcare
AC Immune,Pharma & Healthcare
Acacia Research,Others
Academy Sports,Retail
Acadia Healthcare,Pharma & Healthcare
ACADIA Pharmaceuticals,Pharma & Healthcare
Acadia Realty Trust,Construction & Real Estate
Acasti Pharma,Pharma & Healthcare
Acasti Pharma,Pharma & Healthcare
ACC,Others
Accel Entertainment,Entertainment
Accelerate Diagnostics,Others
Accelya,Tech & Software
Accenture,Tech & Software
Acciona,Construction & Real Estate
Acco Brands,Others
Accolade,Pharma & Healthcare
Accor,Entertainment
Accuray,Pharma & Healthcare
Ace Hardware Indonesia,Retail
AcelRx Pharmaceuticals,Pharma & Healthcare
Acer,Tech & Software
Achieve Life Sciences,Pharma & Healthcare
Achieve Life Sciences,Pharma & Healthcare
ACI Worldwide,Others
ACM Research,Others
ACNB Corporation,Banks & Finance
Acom,Banks & Finance
Acorda Therapeutics,Pharma & Healthcare
Acorda Therapeutics,Pharma & Healthcare
ACRES Commercial Realty,Construction & Real Estate
Action Construction Equipment,Construction & Real Estate
Activision Blizzard,Tech & Software
Activision Blizzard,Entertainment
Acuity Brands,Others
Acushnet Holdings,Others
ACV Auctions,Others
Adani Enterprises,Manufacturing
Adani Gas,"Oil, Gas & Mining"
Adani Green Energy,Electricity
Adani Ports & SEZ,Others
Adani Power,Electricity
Adani Transmission,Electricity
Adani Wilmar,Food
AdaptHealth,Pharma & Healthcare
Adaptimmune Therapeutics,Pharma & Healthcare
Adaptimmune Therapeutics,Pharma & Healthcare
Adaptive Biotechnologies,Pharma & Healthcare
Adaptive Biotechnologies,Pharma & Healthcare
Adaro Energy,Electricity
ADC Therapeutics,Others
Addiko Bank,Banks & Finance
Addus HomeCare,Others
Adecoagro,Others
Adevinta,Tech & Software
Adevinta,Tech & Software
Adial Pharmaceuticals,Pharma & Healthcare
Adicet Bio,Pharma & Healthcare
Adicet Bio,Pharma & Healthcare
Adidas,Consumer Goods & Clothing
Adient,Others
Aditya Birla Capital,Banks & Finance
Adler Real Estate,Construction & Real Estate
ADMA Biologics,Pharma & Healthcare
Adobe,Tech & Software
ADT,Others
Adtalem Global Education,Others
AdTheorent,Tech & Software
ADTRAN,Others
Advance Auto Parts,Manufacturing
Advanced Drainage Systems,Others
Advanced Emissions Solutions,Chemicals
Advanced Energy,Others
Advanced Human Imaging,Tech & Software
Advanced Human Imaging,Pharma & Healthcare
AdvanSix,Chemicals
Advantage Solutions,Others
Advantech,Tech & Software
Advantest,Others
Advaxis,Pharma & Healthcare
Advaxis,Pharma & Healthcare
Advent Technologies,Others
Adverum Biotechnologies,Pharma & Healthcare
Adverum Biotechnologies,Pharma & Healthcare
Adyen,Banks & Finance
AECOM,Others
AEGON,Banks & Finance
Aehr Test Systems,Tech & Software
Aemetis,Chemicals
Aena,Courier & transportation
AEON REIT Investment,Construction & Real Estate
AerCap,Others
AeroClean Technologies,Others
Aerojet Rocketdyne,Manufacturing
Aerojet Rocketdyne,Manufacturing
Aeroporto G. Marconi Bologna,Courier & transportation
AeroVironment,Others
AerSale,Others
AES,Electricity
Aeterna Zentaris,Pharma & Healthcare
Aethlon Medical,Pharma & Healthcare
Aeva Technologies,Tech & Software
AEye,Tech & Software
Affiliated Managers Group,Banks & Finance
Affimed,Pharma & Healthcare
Affirm,Banks & Finance
Aflac,Banks & Finance
Afya,Others
AG Mortgage Investment Trust,Construction & Real Estate
AGC,Others
AGC Networks,Tech & Software
AGCO,Others
AgEagle Aerial Systems,Manufacturing
Agenus,Pharma & Healthcare
Agenus,Pharma & Healthcare
AgeX Therapeutics,Pharma & Healthcare
AgeX Therapeutics,Pharma & Healthcare
Agile Therapeutics,Pharma & Healthcare
Agilent Technologies,Manufacturing
Agilon Health,Pharma & Healthcare
Agilysys,Tech & Software
Agios Pharmaceuticals,Pharma & Healthcare
AGNC Investment,Others
Agnico Eagle Mines,"Oil, Gas & Mining"
Agree Realty,Construction & Real Estate
Agricultural Bank of China,Banks & Finance
Agrify,Others
AgroFresh,Others
Ahold Delhaize,Retail
AIA,Banks & Finance
AIER Eye Hospital,Pharma & Healthcare
Aileron Therapeutics,Pharma & Healthcare
Aileron Therapeutics,Pharma & Healthcare
AIM ImmunoTech,Pharma & Healthcare
Aimco,Others
Air Busan,Courier & transportation
Air Busan,Courier & transportation
Air Canada,Courier & transportation
Air Canada,Courier & transportation
Air China,Courier & transportation
Air China,Courier & transportation
Air France-KLM,Courier & transportation
Air Industries Group,Manufacturing
Air Lease Corporation,Others
Air Liquide,Chemicals
Air New Zealand,Courier & transportation
Air Products and Chemicals,Chemicals
Air Transport Services Group,Courier & transportation
Air Transport Services Group,Courier & transportation
AirAsia,Courier & transportation
AirAsia,Courier & transportation
Airbnb,Tech & Software
Airbus,Manufacturing
Airbus,Manufacturing
Airbus,Manufacturing
Airports of Thailand,Courier & transportation
AirSculpt Technologies,Manufacturing
Aisin Seiki,Manufacturing
Aixtron,Others
Ajinomoto,Food
Akamai,Tech & Software
Akamai,Tech & Software
Akanda,Others
Akbank,Banks & Finance
Akebia Therapeutics,Pharma & Healthcare
Aker BP,"Oil, Gas & Mining"
Akerna,Others
Akero Therapeutics,Pharma & Healthcare
Akero Therapeutics,Pharma & Healthcare
Akoustis Technologies,Manufacturing
Akoya Biosciences,Pharma & Healthcare
Aktia Bank,Banks & Finance
Aktia Bank,Banks & Finance
AkzoNobel,Chemicals
AkzoNobel,Chemicals
Al Moammar Information Systems,Others
Al Rajhi Bank,Banks & Finance
Al Rajhi Bank,Banks & Finance
Alabama Power,Others
Alamos Gold,"Oil, Gas & Mining"
Alarm.com,Others
Alaska Airlines,Courier & transportation
Alaska Airlines,Courier & transportation
Albany International,Others
Albemarle,Chemicals
Albertsons,Retail
Albioma,Electricity
Alcoa,Others
Alcon,Pharma & Healthcare
ALD Automotive,Manufacturing
Aldeyra Therapeutics,Pharma & Healthcare
Alector,Others
Alembic Limited,Others
Alembic Pharmaceuticals,Pharma & Healthcare
Alexander &amp; Baldwin,Construction & Real Estate
Alexander &amp; Baldwin,Banks & Finance
Alexandria Real Estate Equities,Construction & Real Estate
Alfa Laval,Others
Alfamart,Retail
Alfen,Others
Algonquin Power & Utilities,Electricity
Alibaba,Tech & Software
Alico,Others
Alight,Tech & Software
Alight,Tech & Software
Align Technology,Tech & Software
Alignment Healthcare,Pharma & Healthcare
Alimentation Couche-Tard,Retail
Alinma Bank,Banks & Finance
Alinma Bank,Banks & Finance
Alkaline Water Company,Food
Alkami Technology,Tech & Software
Alkami Technology,Tech & Software
Alkem Laboratories,Pharma & Healthcare
Alkermes,Pharma & Healthcare
Alkermes,Pharma & Healthcare
Allakos,Others
Allbirds,Consumer Goods & Clothing
Allcargo Logistics,Others
Alleghany,Banks & Finance
Allegheny Technologies,Manufacturing
Allegiance Bancshares,Banks & Finance
Allegiance Bancshares,Banks & Finance
Allegiant Air,Courier & transportation
Allegiant Air,Courier & transportation
Allegion,Others
Allegro MicroSystems,Tech & Software
Allegro MicroSystems,Tech & Software
Allegro.eu,Tech & Software
Allegro.eu,Tech & Software
Allena Pharmaceuticals,Pharma & Healthcare
Allena Pharmaceuticals,Pharma & Healthcare
Allete,Electricity
Alliance Data,Banks & Finance
Alliance Resource Partners,"Oil, Gas & Mining"
AllianceBernstein,Others
Alliant Energy,Electricity
Allianz,Banks & Finance
Allied Esports,Entertainment
Allied Motion Technologies,Tech & Software
